fuel_type,body_type,kilometer_runned,transmission_type,number_of_owners,manufacturer,model,model_year,price,registration_year,insurance_validity,seats,engine_displacement,mileage,max_power(bhp),City
4,460293.0196,38.26,1,1,8,81,2017,676000,2017,2,5,10.62,2.65,4.34,0
1,1494416.76,36.09,0,1,20,176,2017,4290000,2017,2,5,12.68,2.62,5.54,0
1,1494416.76,39.15,1,2,23,198,2014,650000,2014,5,5,11.35,2.67,4.77,0
1,460293.0196,43.77,1,1,19,156,2014,444000,2014,5,5,10.77,2.93,4.2,0
4,460293.0196,21.54,0,1,26,207,2020,510000,2020,5,5,10,2.8,4.06,0
1,1494416.76,32.71,0,2,26,205,2016,925000,2016,2,5,11.35,2.7,4.77,0
4,1045481.863,37.11,0,2,7,56,2019,1024000,2020,2,5,11.44,2.62,4.9,0
1,1045481.863,43.09,1,3,27,218,2016,500000,2016,5,5,11.44,2.77,4.7,0
4,1494416.76,44.07,0,2,7,55,2012,935000,2012,2,5,12.68,2.25,5.42,0
4,1494416.76,33.3,1,1,6,45,2018,834000,2018,2,5,11.44,2.57,4.95,0
1,460293.0196,44.81,1,1,30,258,2015,560000,2015,5,5,11.44,2.72,4.46,0
4,460293.0196,48.32,1,1,19,156,2012,454000,2012,2,5,10.62,2.82,4.46,0
4,1042342.282,49.32,1,2,29,250,2014,1100000,2014,5,7,12.6,2.25,5.07,0
4,460293.0196,33.23,1,2,7,54,2016,462000,2016,2,5,10.62,2.69,4.43,0
4,1045481.863,15.87,0,1,1,14,2022,7900000,2022,2,4,12.6,2.37,5.84,0
4,460293.0196,31.81,0,2,19,137,2019,843000,2019,4,5,10.62,2.78,4.36,0
4,460293.0196,31.84,1,1,19,138,2018,799000,2019,2,5,9.99,2.76,4.65,0
4,460293.0196,39.08,1,1,8,81,2015,576000,2015,2,5,10.62,2.65,4.34,0
1,1494416.76,35.85,1,1,26,204,2018,949000,2018,2,5,11.35,2.73,4.77,0
4,1494416.76,21.22,1,1,8,77,2019,1085000,2019,4,5,9.99,2.63,4.91,0
4,1494416.76,24.1,0,1,11,92,2022,2590000,2022,2,5,11.1,2.42,5.44,0
1,1494416.76,42.08,1,2,26,205,2013,516000,2013,4,5,11.35,2.73,4.38,0
4,1494416.76,38.31,0,2,6,45,2017,777000,2017,2,5,11.44,2.46,4.95,0
4,460293.0196,20.8,1,1,7,59,2019,753000,2019,2,5,10.62,2.63,4.46,0
1,1494416.76,40.3,0,2,16,129,2017,1226000,2017,5,7,12.59,2.52,5.19,0
4,460293.0196,28.72,1,1,7,59,2017,725000,2017,2,5,10.62,2.65,4.46,0
1,1045481.863,36.84,1,1,8,78,2020,1150000,2020,5,5,11.65,2.8,5.02,0
1,460293.0196,51.24,1,2,19,156,2015,629000,2015,2,5,10.77,2.93,4.2,0
4,1045481.863,45.88,1,2,19,157,2013,447000,2013,2,5,10.62,2.82,4.46,0
4,460293.0196,49.32,1,3,19,140,2015,400000,2015,5,5,9.99,2.85,4.06,0
1,1042342.282,43.62,1,2,19,144,2014,786000,2015,2,7,10.77,2.75,4.46,0
4,460293.0196,32.4,1,1,7,59,2018,745000,2018,2,5,10.62,2.65,4.46,0
4,460293.0196,43.38,0,1,8,70,2014,490000,2014,2,5,10.62,2.66,4.34,0
4,1045481.863,38.55,0,2,7,56,2017,942000,2017,2,5,11.44,2.62,4.9,0
4,1494416.76,41.21,0,2,6,45,2016,675000,2016,5,5,11.44,2.5,4.8,0
4,460293.0196,41.21,1,2,7,54,2013,330000,2013,5,5,10.62,2.69,4.43,0
4,1045481.863,35.94,0,2,29,253,2018,875000,2018,5,5,11.44,2.61,4.73,0
4,460293.0196,26.02,1,1,19,137,2017,869000,2018,2,5,10.62,2.78,4.36,0
1,1045481.863,46.42,1,2,30,263,2012,425000,2012,5,5,11.69,2.74,4.7,0
4,1494416.76,36.76,1,2,6,45,2018,1025000,2018,5,5,11.44,2.51,4.94,0
1,1494416.76,47.91,1,1,16,129,2016,1000000,2016,5,7,12.68,2.52,5.19,0
4,1045481.863,36.84,1,1,5,39,2009,375000,2009,5,5,11.1,2.52,4.46,0
4,1045481.863,36.84,1,1,5,39,2009,375000,2009,5,5,11.1,2.52,4.46,0
4,1494416.76,38.19,0,1,6,45,2018,844000,2018,2,5,11.44,2.46,4.95,0
1,460293.0196,35.58,1,1,8,82,2016,764000,2016,5,5,11.18,2.77,4.46,0
4,460293.0196,37.56,1,2,19,152,2014,420000,2014,5,5,10.62,2.64,4.41,0
1,460293.0196,45.58,1,1,19,137,2016,684000,2016,5,5,10.77,3.01,4.2,0
4,460293.0196,28.09,1,1,19,137,2019,803000,2019,6,5,10.62,2.78,4.36,0
4,460293.0196,41.21,1,2,8,74,2010,320000,2010,5,5,10.28,2.62,3.96,0
1,1045481.863,48.68,1,1,7,56,2017,804000,2018,2,5,11.44,2.96,4.62,0
4,460293.0196,34.82,1,2,19,156,2016,548000,2016,2,5,10.62,2.82,4.46,0
4,460293.0196,27.56,1,1,8,70,2019,619000,2019,2,5,10.62,2.66,4.34,0
1,1494416.76,36.84,1,2,19,159,2018,1000000,2018,5,5,10.77,2.9,4.46,0
4,1494416.76,35.99,1,1,7,62,2018,865000,2018,2,5,10.62,2.6,4.46,0
1,1494416.76,36.84,0,2,18,123,2014,1000000,2014,5,7,12.68,2.25,5.69,0
1,460293.0196,47.03,1,2,19,156,2014,535000,2014,2,5,10.77,2.93,4.2,0
1,1494416.76,44.81,1,1,6,45,2018,975000,2018,2,5,11.44,2.84,4.63,0
4,460293.0196,36.85,1,1,19,137,2017,699000,2017,5,5,10.62,2.78,4.36,0
4,460293.0196,44.81,1,2,8,81,2015,625000,2015,2,5,10.62,2.65,4.34,0
1,1045481.863,44.81,0,4,20,171,2011,1000000,2011,5,5,12.68,2.42,5.84,0
4,1045481.863,29.31,1,1,19,157,2015,675000,2015,4,5,10.62,2.82,4.46,0
4,1045481.863,29.25,1,1,19,142,2021,893000,2021,2,5,11.35,2.74,4.69,0
1,460293.0196,46.42,1,2,19,156,2012,420000,2012,5,5,10.77,2.84,4.2,0
4,1045481.863,29.76,1,1,19,142,2020,941000,2020,6,5,11.35,2.74,4.69,0
4,1045481.863,42.46,0,2,8,68,2015,630000,2015,6,5,12.16,2.44,5.28,0
4,460293.0196,33.16,0,2,8,70,2015,525000,2015,2,5,10.62,2.66,4.34,0
1,1494416.76,45.42,1,1,19,155,2016,750000,2016,2,5,10.77,2.87,4.46,0
4,1045481.863,48.71,0,2,19,142,2016,632000,2016,2,5,11.11,2.67,4.5,0
4,1045481.863,35.16,1,1,19,157,2015,645000,2016,6,5,10.62,2.82,4.46,0
1,1494416.76,42.54,0,2,1,19,2019,6795000,2019,2,5,12.68,2.37,5.84,0
1,1494416.76,46.42,1,1,19,159,2018,850000,2018,2,5,10.77,2.9,4.46,0
4,1045481.863,41.6,1,1,22,189,2008,299000,2008,5,5,12.6,2.45,4.86,0
1,1045481.863,42.54,0,1,10,90,2013,2095000,2013,2,5,12.68,2.54,5.73,0
1,1494416.76,44.33,0,1,0,7,2013,2800000,2013,2,7,12.68,2.29,5.84,0
4,460293.0196,34.42,1,2,30,258,2021,999000,2021,4,5,10,2.63,4.77,0
4,460293.0196,30.37,1,1,7,59,2018,825000,2018,2,5,10.62,2.65,4.46,0
4,460293.0196,34.2,1,3,19,160,2008,250000,2008,2,5,10.2,2.66,4.06,0
4,1494416.76,29.62,0,1,8,77,2020,1295000,2020,2,5,9.99,2.63,4.91,0
4,460293.0196,42.36,1,1,19,160,2012,329000,2012,2,5,9.99,2.66,4.06,0
4,1045481.863,48.46,1,1,19,142,2018,666000,2018,2,5,11.35,2.78,4.69,0
1,1045481.863,28.84,0,1,0,0,2019,2290000,2020,5,5,12.53,2.73,5.23,0
1,1494416.76,40.37,1,2,8,77,2020,1026000,2020,4,5,11.43,2.87,4.62,0
4,1494416.76,21.54,0,1,27,215,2022,1700000,2022,5,5,10,2.58,4.85,0
4,460293.0196,34.19,1,1,19,137,2016,681000,2016,6,5,10.62,2.78,4.36,0
4,1494416.76,21.54,0,1,8,64,2022,1690000,2022,5,7,12.6,2.42,5.39,0
4,460293.0196,40.31,1,3,19,136,2016,318000,2017,5,5,9.99,2.9,4.04,0
4,460293.0196,36.64,1,1,19,137,2017,688000,2017,2,5,10.62,2.78,4.36,0
4,460293.0196,36.84,1,1,8,80,2009,265000,2009,5,5,10.62,2.73,4.29,0
4,1045481.863,34.2,0,2,19,157,2018,645000,2018,5,5,10.62,2.8,4.34,0
4,1494416.76,31.07,0,1,8,64,2022,2000000,2022,5,7,12.6,2.42,5.39,0
4,1494416.76,27.14,1,1,15,109,2022,1470000,2022,5,5,11.44,2.49,4.77,0
0,1045481.863,41.21,1,1,8,63,2010,220000,2010,5,5,11.43,2.36,4.54,0
1,1045481.863,44.81,0,1,0,2,2014,1475000,2014,5,5,12.53,2.58,5.59,0
4,460293.0196,34.2,1,1,26,207,2020,415000,2020,5,5,10,2.79,4.06,0
4,460293.0196,39.96,1,1,7,59,2016,610000,2016,2,5,10.62,2.65,4.46,0
4,460293.0196,39.2,1,2,8,70,2018,560000,2018,2,5,10.62,2.66,4.34,0
4,460293.0196,21.54,0,2,19,136,2015,425000,2015,5,5,9.99,2.88,4.06,0
4,460293.0196,33.66,1,1,19,137,2016,686000,2016,2,5,10.62,2.78,4.36,0
4,460293.0196,42.45,1,1,19,156,2015,517000,2015,2,5,10.62,2.82,4.46,0
4,460293.0196,34.38,1,1,19,137,2016,675000,2016,2,5,10.62,2.78,4.36,0
4,460293.0196,44.49,1,1,19,156,2014,499000,2014,5,5,10.62,2.82,4.46,0
4,460293.0196,25.47,1,1,19,156,2022,774000,2022,4,5,10.62,2.82,4.46,0
1,1494416.76,41.21,1,2,11,92,2019,1475000,2019,5,5,12.51,2.54,5.54,0
4,1494416.76,21.54,1,1,28,233,2023,1400000,2023,5,5,10.62,2.59,4.91,0
4,460293.0196,38.49,1,2,8,67,2013,285000,2013,5,5,9.38,2.76,3.81,0
4,460293.0196,21.54,1,1,19,137,2019,780000,2019,5,5,10.62,2.78,4.36,0
4,460293.0196,36.84,1,2,19,156,2012,475000,2012,5,5,10.62,2.65,4.41,0
1,1494416.76,49.32,1,1,16,128,2019,750000,2019,5,5,11.44,2.71,4.86,0
4,460293.0196,32.86,1,1,8,70,2014,555000,2015,2,5,10.62,2.66,4.34,0
4,460293.0196,34.22,1,2,7,59,2017,607000,2017,5,5,10.62,2.65,4.46,0
4,460293.0196,40.36,1,2,8,70,2017,514000,2017,5,5,10.62,2.66,4.34,0
4,1045481.863,49.32,1,2,19,137,2005,250000,2005,5,5,11.67,2.49,4.53,0
4,460293.0196,33.08,1,2,19,137,2016,705000,2016,4,5,10.62,2.78,4.36,0
4,460293.0196,41.08,1,1,19,137,2016,653000,2016,2,5,10.62,2.78,4.36,0
4,1045481.863,38.18,0,1,7,56,2015,872000,2015,5,5,11.44,2.62,4.9,0
4,460293.0196,39.75,0,2,8,70,2017,564000,2017,5,5,10.62,2.66,4.34,0
1,460293.0196,44.81,1,2,30,258,2011,370000,2011,5,5,10.62,2.81,4.2,0
4,460293.0196,40.95,1,1,19,156,2015,550000,2015,5,5,10.62,2.82,4.46,0
4,460293.0196,42.64,1,3,7,59,2016,517000,2016,2,5,10.62,2.65,4.46,0
4,1045481.863,34.2,1,1,19,157,2016,620000,2016,5,5,10.62,2.75,4.36,0
4,1045481.863,34.2,1,1,19,157,2016,620000,2016,5,5,10.62,2.75,4.36,0
4,1045481.863,36.42,0,1,7,56,2014,750000,2014,5,5,11.44,2.62,4.9,0
4,1494416.76,31.07,1,1,28,233,2022,1220000,2022,5,5,10.62,2.6,4.91,0
